N,P,K,temperature,humidity,ph,rainfall,crop
49,50,38,16.8,50.9,7.3,56.1,Barley
75,64,46,15.6,54.5,7.5,87.0,Wheat
76,66,74,20.5,73.6,5.7,82.5,Potato
69,56,42,23.7,55.6,6.3,87.8,Wheat
93,53,69,29.2,83.0,7.4,142.1,Sugarcane
33,36,56,23.8,60.3,7.2,97.2,Soybean
89,66,35,22.2,62.0,6.8,68.7,Wheat
68,32,46,25.1,61.7,6.8,113.9,Maize
67,45,52,22.8,53.0,7.0,79.7,Maize
106,49,39,27.9,91.2,5.5,270.9,Rice
51,49,34,19.5,60.8,6.5,44.9,Barley
56,63,48,22.8,58.3,6.0,72.7,Wheat
78,71,83,17.3,79.4,5.1,112.1,Potato
80,50,95,34.6,70.6,7.2,172.0,Sugarcane
20,24,18,35.5,25.8,7.3,56.0,Millet
22,39,47,25.0,79.8,6.2,131.2,Soybean
44,50,49,13.1,40.6,6.6,80.6,Barley
50,50,56,27.7,66.7,6.7,84.7,Soybean
24,51,53,23.9,60.4,6.7,128.0,Soybean
107,56,51,24.3,75.6,6.0,190.2,Rice
89,36,45,28.1,57.5,6.2,120.1,Maize
73,47,72,27.3,51.2,6.2,96.8,Cotton
83,46,36,24.2,85.1,5.5,179.8,Rice
41,43,50,15.5,56.3,7.4,79.1,Barley
66,54,30,12.2,43.8,6.2,80.2,Barley
73,47,46,33.1,53.3,7.9,98.1,Cotton
38,37,36,32.1,67.6,6.8,101.6,Groundnut
78,28,48,26.2,58.8,6.5,86.3,Cotton
22,19,26,28.3,35.1,7.9,47.2,Millet
99,32,45,24.1,71.5,6.1,75.2,Maize
41,59,37,27.2,66.3,6.7,138.8,Soybean
62,45,48,30.2,53.9,7.1,66.4,Maize
106,62,87,28.0,66.4,7.2,162.9,Sugarcane
74,40,43,12.8,57.3,7.1,46.1,Barley
51,56,38,22.1,78.7,6.1,127.6,Soybean
76,43,46,19.5,68.8,7.3,68.4,Wheat
89,42,37,24.3,77.0,5.9,245.4,Rice
23,21,29,29.7,31.9,7.9,63.9,Millet
69,33,58,26.9,61.8,6.9,124.6,Maize
98,74,75,21.6,80.5,6.5,94.7,Potato
48,50,46,31.6,73.3,6.8,90.8,Groundnut
86,65,89,27.3,71.2,6.7,172.3,Sugarcane
74,55,85,27.7,81.4,7.4,207.5,Sugarcane
78,41,42,23.0,73.1,6.4,128.9,Maize
15,30,34,29.3,37.8,6.9,77.7,Millet
88,43,47,15.7,64.0,7.1,59.0,Wheat
50,38,46,31.1,68.5,7.7,65.6,Groundnut
37,37,33,31.9,67.5,7.7,87.5,Groundnut
82,31,60,30.0,74.2,7.1,127.9,Maize
39,53,51,25.7,54.1,6.6,106.2,Groundnut
92,62,68,18.6,78.9,5.9,113.2,Potato
84,45,45,27.0,63.1,7.1,76.3,Maize
88,72,76,21.5,63.9,5.7,127.8,Potato
40,26,37,36.9,39.2,7.0,38.6,Millet
81,46,61,26.7,74.5,7.5,129.5,Sugarcane
83,43,77,32.0,71.3,7.1,186.5,Sugarcane
106,36,41,24.2,89.7,6.5,283.8,Rice
81,75,99,17.4,73.8,5.6,124.5,Potato
27,28,20,36.4,39.8,7.0,61.1,Millet
35,32,31,29.3,58.1,6.5,56.8,Groundnut
70,45,58,23.7,52.5,7.0,92.6,Wheat
30,47,37,34.5,70.3,7.0,84.1,Groundnut
34,30,28,35.5,33.2,6.7,40.7,Millet
22,63,44,30.2,65.0,6.1,120.4,Soybean
60,35,42,19.7,44.2,7.1,84.9,Barley
45,27,39,38.7,43.4,7.9,52.8,Millet
49,51,44,34.5,75.0,7.2,70.2,Groundnut
29,38,54,29.0,62.9,7.8,99.3,Groundnut
90,75,71,18.0,74.7,6.5,94.3,Potato
55,47,43,20.9,50.8,6.3,55.0,Wheat
94,57,66,20.5,73.8,5.1,129.5,Potato
75,47,58,23.6,46.8,6.4,96.8,Wheat
41,46,28,16.6,41.3,6.7,52.7,Barley
89,57,70,31.8,65.0,7.7,190.0,Sugarcane
17,23,29,33.0,31.2,7.3,74.8,Millet
89,34,42,31.6,64.5,6.6,119.8,Maize
51,68,57,23.3,52.7,6.1,111.5,Wheat
21,49,42,31.5,72.9,6.3,93.9,Groundnut
75,45,53,33.7,47.7,7.7,101.5,Cotton
76,35,64,26.7,68.2,7.7,108.6,Cotton
78,47,71,29.1,48.9,7.7,92.2,Cotton
95,44,39,24.7,93.7,6.5,241.4,Rice
48,36,53,25.0,64.3,7.3,65.7,Cotton
102,56,47,30.6,86.5,6.6,156.9,Rice
108,44,38,31.6,81.7,5.6,164.5,Rice
66,50,65,25.1,65.4,6.6,89.8,Cotton
79,46,43,25.0,61.2,6.7,86.2,Wheat
85,56,60,27.2,73.6,7.0,205.1,Sugarcane
54,51,38,23.0,59.9,6.3,84.4,Soybean
74,46,46,19.1,50.9,7.3,97.9,Barley
66,47,60,20.1,47.3,6.1,57.7,Wheat
85,44,77,34.3,78.5,7.6,200.0,Sugarcane
98,42,40,27.6,80.3,6.4,284.7,Rice
67,42,40,24.8,51.5,6.3,138.8,Maize
48,36,75,36.0,46.8,6.4,65.9,Cotton
28,56,39,27.8,66.8,6.8,104.0,Soybean
39,42,32,28.5,58.3,7.2,114.3,Groundnut
71,50,46,25.1,73.9,7.2,104.5,Maize
87,53,38,25.8,94.8,6.5,233.5,Rice
71,65,84,23.7,81.9,5.7,96.8,Potato
114,50,51,29.3,85.7,7.0,206.8,Rice
38,32,39,33.0,47.4,7.6,58.2,Millet
31,16,21,38.2,38.7,8.1,61.7,Millet
26,47,34,26.7,51.9,6.0,83.8,Groundnut
20,51,38,31.7,68.8,7.0,80.1,Soybean
55,39,38,15.4,61.2,7.5,46.3,Barley
70,30,64,27.9,57.2,7.8,100.8,Cotton
81,64,78,27.4,80.9,6.4,123.1,Sugarcane
33,29,36,37.2,36.4,6.5,44.3,Millet
107,64,65,23.3,72.5,6.1,95.6,Potato
37,58,51,28.5,67.3,7.2,77.4,Soybean
90,76,95,17.8,79.8,5.6,125.4,Potato
71,39,58,25.1,46.9,7.8,104.2,Cotton
78,66,97,19.4,77.5,5.2,128.1,Potato
88,59,53,25.1,88.1,6.1,287.2,Rice
70,51,27,20.8,46.1,6.8,76.6,Barley
119,56,98,25.3,84.4,6.3,245.1,Sugarcane
46,45,51,24.7,61.3,6.2,85.4,Soybean
67,51,40,13.2,64.6,7.4,60.8,Barley
64,46,62,26.6,48.2,6.6,103.9,Cotton
